Province,City,cluster
Alberta,Airdrie,2
Alberta,Banff,2
Alberta,Beaumont,2
Alberta,Brooks,1
Alberta,Calgary,2
Alberta,Camrose,2
Alberta,Chestermere,2
Alberta,Cochrane,2
Alberta,Cold Lake,2
Alberta,Edmonton,2
Alberta,Fort McMurray,2
Alberta,Fort Saskatchewan,2
Alberta,Grande Prairie,2
Alberta,High River,1
Alberta,Lacombe,2
Alberta,Leduc,2
Alberta,Lethbridge,1
Alberta,Lloydminsterÿ,2
Alberta,Medicine Hat,1
Alberta,Okotoks,1
Alberta,Red Deer,2
Alberta,Sherwood Park,2
Alberta,Spruce Grove,2
Alberta,St. Albert,2
Alberta,Wetaskiwin,2
Alberta,Nothern Alberta,2
Alberta,Southern Alberta,1
British Columbia,Abbotsford,3
British Columbia,Burnaby,3
British Columbia,Campbell River,3
British Columbia,Chilliwack,3
British Columbia,Colwood,3
British Columbia,Coquitlam,3
British Columbia,Courtenay,3
British Columbia,Delta,3
British Columbia,Kamloops,2
British Columbia,Kelowna,1
British Columbia,Langford,3
British Columbia,Langley,3
British Columbia,Maple Ridge,3
British Columbia,Nanaimo,3
British Columbia,New Westminster,3
British Columbia,North Vancouver,3
British Columbia,Parksville,3
British Columbia,Penticton,2
British Columbia,Pitt Meadows,3
British Columbia,Port Alberni,3
British Columbia,Port Coquitlam,3
British Columbia,Port Moody,3
British Columbia,Powell River,3
British Columbia,Prince George,2
British Columbia,Richmond,3
British Columbia,Salmon Arm,2
British Columbia,Surrey,3
British Columbia,Vancouver,3
British Columbia,Vernon,2
British Columbia,Victoria,3
British Columbia,West Kelowna,1
British Columbia,Western BC,3
British Columbia,Eastern BC,2
British Columbia,Northern BC,2
Manitoba,Altona,2
Manitoba,Arborg,2
Manitoba,Beausejour,2
Manitoba,Boissevain,2
Manitoba,Brandon,2
Manitoba,Carberry,2
Manitoba,Carman,2
Manitoba,Dauphin,2
Manitoba,Flin Flon,2
Manitoba,Minnedosa,2
Manitoba,Morden,2
Manitoba,Neepawa,2
Manitoba,Niverville,2
Manitoba,Portage la Prairie,2
Manitoba,Roblin,2
Manitoba,Selkirk,2
Manitoba,Ste. Anne,2
Manitoba,Steinbach,2
Manitoba,Swan River,2
Manitoba,The Pas,2
Manitoba,Thompson,2
Manitoba,Virden,2
Manitoba,Winkler,2
Manitoba,Winnipeg,2
Manitoba,Other,2
New Brunswick,Bathurst,1
New Brunswick,Bouctouche,1
New Brunswick,Campbellton,2
New Brunswick,Caraquet,1
New Brunswick,Dalhousie,2
New Brunswick,Dieppe,1
New Brunswick,Edmundston,2
New Brunswick,Fredericton,1
New Brunswick,Grand Falls,2
New Brunswick,Hampton,1
New Brunswick,Memramcook,1
New Brunswick,Miramichi,1
New Brunswick,Moncton,1
New Brunswick,Oromocto,1
New Brunswick,Restigouche County,2
New Brunswick,Richibucto,1
New Brunswick,Saint John,1
New Brunswick,Saint Leonard,2
New Brunswick,Saint Stephen,1
New Brunswick,Shediac,1
New Brunswick,St. Andrews,1
New Brunswick,Sussex,1
New Brunswick,Woodstock,1
New Brunswick,Other,1
Newfoundland and Labrador,Bishop's Falls,1
Newfoundland and Labrador,Bonavista,1
Newfoundland and Labrador,Botwood,1
Newfoundland and Labrador,Carbonear,1
Newfoundland and Labrador,Channel-Port aux Basques,1
Newfoundland and Labrador,Clarenville,1
Newfoundland and Labrador,Conception Bay South,1
Newfoundland and Labrador,Corner Brook,1
Newfoundland and Labrador,Deer Lake,1
Newfoundland and Labrador,Gander,1
Newfoundland and Labrador,Grand Falls-Windsor,1
Newfoundland and Labrador,Happy Valley-Goose Bay,2
Newfoundland and Labrador,Labrador City,2
Newfoundland and Labrador,Marystown,1
Newfoundland and Labrador,Mount Pearl,1
Newfoundland and Labrador,Placentia,1
Newfoundland and Labrador,Portugal Cove-St. Philip's,1
Newfoundland and Labrador,St. Anthony,2
Newfoundland and Labrador,St. John's,1
Newfoundland and Labrador,Stephenville,1
Newfoundland and Labrador,Stephenville,1
Newfoundland and Labrador,Torbay,1
Newfoundland and Labrador,Twillingate,1
Newfoundland and Labrador,Newfoundland,1
Newfoundland and Labrador,Labrador ,2
Nova Scotia,Amherst,1
Nova Scotia,Annapolis Royal,1
Nova Scotia,Antigonish,1
Nova Scotia,Baddeck,1
Nova Scotia,Baddeck,1
Nova Scotia,Bridgewater,1
Nova Scotia,Chester,1
Nova Scotia,Digby,1
Nova Scotia,Halifax Regional Municipality,3
Nova Scotia,Kentville,1
Nova Scotia,Liverpool,3
Nova Scotia,Lunenburg,1
Nova Scotia,Mahone Bay,1
Nova Scotia,Middleton,1
Nova Scotia,New Glasgow,1
Nova Scotia,Port Hawkesbury,1
