Province,City,cluster
AB,Grande Prairie,2
AB,Banff,2
AB,Cochrane,2
AB,Calgary,2
AB,Airdrie,2
AB,Okotoks,1
AB,Spruce Grove,2
AB,High River,1
AB,Chestermere,2
AB,Red Deer,2
AB,Lacombe,2
AB,St. Albert,2
AB,Leduc,2
AB,Edmonton,2
AB,Wetaskiwin,2
AB,Sherwood Park,2
AB,Fort Saskatchewan,2
AB,Beaumont,2
AB,Lethbridge,1
AB,Camrose,2
AB,Brooks,1
AB,Fort McMurray,2
AB,Medicine Hat,1
AB,Cold Lake,2
AB,Lloydminsterÿ,2
BC,Campbell River,3
BC,Courtenay,3
BC,Port Alberni,3
BC,Powell River,3
BC,Parksville,3
BC,Nanaimo,3
BC,Langford,3
BC,Colwood,3
BC,Victoria,3
BC,Vancouver,3
BC,North Vancouver,3
BC,Delta,3
BC,New Westminster,3
BC,Burnaby,3
BC,Richmond,3
BC,Port Moody,3
BC,Surrey,3
BC,Coquitlam,3
BC,Port Coquitlam,3
BC,Pitt Meadows,3
BC,Langley,3
BC,Maple Ridge,3
BC,Abbotsford,3
BC,Chilliwack,3
BC,Kamloops,2
BC,Prince George,2
BC,Penticton,2
BC,West Kelowna,1
BC,Kelowna,1
BC,Salmon Arm,2
BC,Vernon,2
MB,Flin Flon,2
MB,Roblin,2
MB,Swan River,2
MB,The Pas,2
MB,Virden,2
MB,Boissevain,2
MB,Dauphin,2
MB,Brandon,2
MB,Minnedosa,2
MB,Neepawa,2
MB,Carberry,2
MB,Portage la Prairie,2
MB,Morden,2
MB,Carman,2
MB,Winkler,2
MB,Thompson,2
MB,Altona,2
MB,Arborg,2
MB,Winnipeg,2
MB,Niverville,2
MB,Selkirk,2
MB,Steinbach,2
MB,Ste. Anne,2
MB,Beausejour,2
NB,Edmundston,2
NB,Saint Leonard,2
NB,Grand Falls,2
NB,Woodstock,1
NB,Saint Stephen,1
NB,St. Andrews,1
NB,Restigouche County,2
NB,Campbellton,2
NB,Fredericton,1
NB,Oromocto,1
NB,Dalhousie,2
NB,Saint John,1
NB,Hampton,1
NB,Bathurst,1
NB,Sussex,1
NB,Miramichi,1
NB,Caraquet,1
NB,Richibucto,1
NB,Moncton,1
NB,Dieppe,1
NB,Bouctouche,1
NB,Memramcook,1
NB,Shediac,1
NL,Labrador City,2
NL,Happy Valley-Goose Bay,2
NL,Channel-Port aux Basques,1
NL,Stephenville,1
NL,Stephenville,1
NL,Corner Brook,1
NL,Deer Lake,1
NL,Grand Falls-Windsor,1
NL,St. Anthony,2
NL,Bishop's Falls,1
NL,Botwood,1
NL,Marystown,1
NL,Twillingate,1
NL,Gander,1
NL,Clarenville,1
NL,Placentia,1
NL,Carbonear,1
NL,Bonavista,1
NL,Portugal Cove-St. Philip's,1
NL,Mount Pearl,1
NL,Torbay,1
NL,St. John's,1
NL,Conception Bay South,1
NS,Yarmouth,3
NS,Digby,1
NS,Annapolis Royal,1
NS,Shelburne,1
NS,Middleton,1
NS,Liverpool,3
NS,Bridgewater,1
NS,Kentville,1
NS,Mahone Bay,1
NS,Wolfville,1
NS,Lunenburg,1
NS,Chester,1
NS,Amherst,1
NS,Pugwash,1
NS,Halifax Regional Municipality,3
NS,Truro,1
NS,New Glasgow,1
NS,Antigonish,1
NS,Port Hawkesbury,1
NS,Baddeck,1
NS,Baddeck,1
NS,Sydney,1
ON,Kenora,2
ON,Windsor,1
ON,Sarnia,1
ON,Timmins,2
ON,London,1
ON,St. Thomas,1
ON,Greater Sudbury,2
ON,Woodstock,1
ON,Kitchener,1
ON,Norfolk County,1
ON,Cambridge,1
ON,Guelph,1
ON,Haldimand County,1
ON,Hamilton,1
ON,Burlington,1
ON,Brampton,1
ON,Barrie,1
ON,Mississauga,1
ON,Vaughan,1
ON,North Bay,1
ON,Richmond Hill,1
ON,Toronto,1
ON,Markham,1
ON,Welland,1
ON,St. Catharines,1
ON,Kawartha Lakes,1
ON,Oshawa,1
ON,Belleville,1
ON,Kingston,1
ON,Ottawa,1
ON,Cornwall,1
PEI,O'Leary,1
PEI,Abrams Village,1
PEI,Alberton,1
PEI,Tignish,1
PEI,Summerside,1
PEI,Wellington,1
PEI,Tyne Valley,1
PEI,Borden-Carleton,1
PEI,Kensington,1
PEI,Victoria,1
PEI,Crapaud,1
PEI,North Rustico,1
PEI,Mount Stewart,1
PEI,Hunter River,1
PEI,Cornwall,1
PEI,Belfast,1
PEI,Charlottetown,1
PEI,Stratford,1
PEI,Montague,1
PEI,Murray Harbour,1
PEI,Montague,1
PEI,Murray River,1
PEI,Georgetown,1
PEI,Souris,1
QC,Rouyn-Noranda,2
QC,Gatineau,1
QC,Mirabel,1
QC,Saint-Eustache,1
QC,Dollard-des-Ormeaux,1
QC,Chƒteauguay,1
QC,Laval,1
QC,Terrebonne,1
QC,Mascouche,1
QC,Montreal,1
QC,Longueuil,1
QC,Brossard,1
QC,Repentigny,1
QC,Saint-J‚r“me,1
QC,Saint-Jean-sur-Richelieu,1
QC,Sorel-Tracy,1
QC,Saint-Hyacinthe,1
QC,Shawinigan,1
QC,Granby,1
QC,Trois-Rivi?res,1
QC,Drummondville,1
QC,Victoriaville,1
QC,Sherbrooke,1
QC,L‚vis,1
QC,Qu‚bec,2
QC,Saguenay,2
QC,Rimouski,2
SK,Lloydminster,2
SK,Maple Creek,1
SK,Kindersley,2
SK,Meadow Lake,2
SK,Battleford,2
SK,North Battleford,2
SK,Rosetown,2
SK,Swift Current,2
SK,Dalmeny,2
SK,Saskatoon,2
SK,Martensville,2
SK,Warman,2
SK,Moose Jaw,2
SK,La Ronge,2
SK,Humboldt,2
SK,Lumsden,2
SK,Regina,2
SK,Melfort,2
SK,Weyburn,2
SK,Estevan,2
SK,Melville,2
SK,Yorkton,2
SK,Esterhazy,2
SK,Flin Flon,2
SK,Prince Albert,2
