Country,March,April,May,June,July,August,September,October,November
USA,65,209691,899902,1123249,1477870,2293217,2627568,2584433,3130973
India,0,1792,26027,97008,227476,567637,800127,943503,563775
Brazil,2,6511,47660,288279,565790,731209,671013,491690,404659
Russia,0,2563,116768,234146,184861,184861,167044,200098,382873
France,116,42024,55403,54843,59344,76151,168634,448689,1260606
Italy,1578,80478,100672,40893,15122,12303,26766,52647,378129
UK,564,45624,94789,115788,184562,168414,124867,96714,8714
Argentina,0,800,2650,10436,40681,101327,103702,141574,157077
Colombia,0,1009,5141,19863,55132,135143,134460,57452,74002
Germany,114,58350,30441,9247,7463,8251,14820,28044,177824
Mexico,5,1189,6506,19020,55414,111559,135726,153224,155550
